order_id,store_id,region,order_datetime,promised_ready_datetime,actual_ready_datetime,pickup_datetime,items_ordered,items_fulfilled,substitution_count,is_complete,order_value
ORD-20257241,GS-01,North,2025-11-01 02:25:00,2025-11-01 04:10:00,2025-11-01 04:17:00,2025-11-01 04:59:00,12,11,0,False,61.45
ORD-20250515,GS-02,North,2025-11-01 04:28:00,2025-11-01 06:13:00,2025-11-01 06:16:00,2025-11-01 06:49:00,15,14,0,False,115.08
ORD-20251377,GS-08,South,2025-11-01 07:49:00,2025-11-01 09:34:00,2025-11-01 09:35:00,2025-11-01 10:19:00,5,5,0,True,70.56
ORD-20255126,GS-07,South,2025-11-01 08:14:00,2025-11-01 10:14:00,2025-11-01 10:18:00,2025-11-01 10:39:00,5,5,0,True,40.06
ORD-20252739,GS-07,South,2025-11-01 08:35:00,2025-11-01 09:35:00,2025-11-01 09:35:00,2025-11-01 10:40:00,5,5,0,True,86.16
ORD-20253750,GS-07,South,2025-11-01 09:39:00,2025-11-01 11:09:00,2025-11-01 11:18:00,2025-11-01 12:41:00,12,12,0,True,111.58
ORD-20252865,GS-01,North,2025-11-01 09:49:00,2025-11-01 10:49:00,2025-11-01 10:59:00,2025-11-01 12:00:00,12,10,0,False,95.28
ORD-20257378,GS-07,South,2025-11-01 09:56:00,2025-11-01 11:41:00,2025-11-01 11:41:00,2025-11-01 12:37:00,8,8,0,True,112.79
ORD-20256330,GS-11,East,2025-11-01 10:08:00,2025-11-01 11:53:00,2025-11-01 11:53:00,,8,7,0,False,72.46
ORD-20250175,GS-10,East,2025-11-01 10:09:00,2025-11-01 11:24:00,2025-11-01 11:24:00,2025-11-01 12:25:00,20,20,0,True,318.03
ORD-20250137,GS-05,Central,2025-11-01 10:19:00,2025-11-01 12:19:00,2025-11-01 12:28:00,2025-11-01 12:34:00,12,11,0,False,195.28
ORD-20257193,GS-04,Central,2025-11-01 10:20:00,2025-11-01 12:20:00,2025-11-01 12:39:00,2025-11-01 13:22:00,8,6,0,False,75.75
ORD-20255091,GS-12,West,2025-11-01 10:21:00,2025-11-01 11:36:00,2025-11-01 11:47:00,2025-11-01 12:00:00,5,4,0,False,75.56
ORD-20254662,GS-11,East,2025-11-01 10:28:00,2025-11-01 11:28:00,2025-11-01 11:57:00,2025-11-01 12:26:00,12,11,0,False,213.3
ORD-20252030,GS-11,East,2025-11-01 10:30:00,2025-11-01 12:00:00,2025-11-01 12:23:00,2025-11-01 13:04:00,25,24,0,False,449.58
ORD-20253562,GS-04,Central,2025-11-01 11:38:00,2025-11-01 13:38:00,2025-11-01 14:07:00,2025-11-01 14:26:00,8,7,0,False,108.42
ORD-20256012,GS-12,West,2025-11-01 11:42:00,2025-11-01 13:12:00,2025-11-01 13:25:00,2025-11-01 13:53:00,8,7,0,False,83.0
ORD-20252866,GS-03,North,2025-11-01 11:52:00,2025-11-01 13:22:00,2025-11-01 13:22:00,2025-11-01 14:08:00,5,4,0,False,85.8
ORD-20256887,GS-06,Central,2025-11-01 12:20:00,2025-11-01 14:20:00,2025-11-01 14:45:00,,12,11,0,False,93.6
ORD-20250117,GS-03,North,2025-11-01 12:44:00,2025-11-01 14:44:00,2025-11-01 14:52:00,2025-11-01 15:39:00,20,18,3,False,240.33
ORD-20257512,GS-08,South,2025-11-01 13:10:00,2025-11-01 14:10:00,2025-11-01 14:18:00,2025-11-01 15:08:00,25,22,1,False,168.28
ORD-20255515,GS-11,East,2025-11-01 13:23:00,2025-11-01 14:23:00,2025-11-01 14:54:00,2025-11-01 15:54:00,12,11,0,False,183.73
ORD-20256091,GS-11,East,2025-11-01 13:33:00,2025-11-01 15:18:00,2025-11-01 15:52:00,2025-11-01 15:57:00,12,10,0,False,69.49
ORD-20251244,GS-11,East,2025-11-01 15:00:00,2025-11-01 16:00:00,2025-11-01 16:02:00,2025-11-01 16:58:00,25,24,0,False,186.43
ORD-20255423,GS-07,South,2025-11-01 15:04:00,2025-11-01 17:04:00,2025-11-01 17:14:00,2025-11-01 18:37:00,25,21,0,False,446.37
ORD-20250020,GS-09,South,2025-11-01 15:31:00,2025-11-01 16:31:00,2025-11-01 16:55:00,2025-11-01 17:12:00,8,7,0,False,82.13
ORD-20258250,GS-06,Central,2025-11-01 15:53:00,2025-11-01 17:23:00,2025-11-01 17:28:00,2025-11-01 18:03:00,25,20,0,False,286.85
ORD-20256007,GS-03,North,2025-11-01 16:01:00,2025-11-01 17:16:00,2025-11-01 17:26:00,2025-11-01 17:50:00,12,10,0,False,170.84
ORD-20256819,GS-05,Central,2025-11-01 16:22:00,2025-11-01 17:22:00,2025-11-01 17:29:00,2025-11-01 18:28:00,5,4,0,False,56.76
ORD-20255979,GS-09,South,2025-11-01 16:27:00,2025-11-01 18:27:00,2025-11-01 18:27:00,2025-11-01 18:40:00,8,6,0,False,78.5
ORD-20255345,GS-03,North,2025-11-01 16:56:00,2025-11-01 18:11:00,2025-11-01 18:11:00,2025-11-01 19:11:00,3,3,0,True,19.63
ORD-20254383,GS-09,South,2025-11-01 17:07:00,2025-11-01 19:07:00,2025-11-01 19:50:00,2025-11-01 20:26:00,15,13,0,False,202.66
ORD-20251846,GS-03,North,2025-11-01 17:13:00,2025-11-01 18:13:00,2025-11-01 18:25:00,2025-11-01 19:05:00,25,25,0,True,289.76
ORD-20257437,GS-11,East,2025-11-01 17:21:00,2025-11-01 18:36:00,2025-11-01 18:43:00,2025-11-01 19:08:00,12,10,0,False,92.3
ORD-20250903,GS-11,East,2025-11-01 17:42:00,2025-11-01 18:57:00,2025-11-01 18:57:00,2025-11-01 19:12:00,8,8,0,True,82.93
ORD-20255049,GS-12,West,2025-11-01 18:12:00,2025-11-01 19:57:00,2025-11-01 20:18:00,,15,14,0,False,223.72
ORD-20254829,GS-02,North,2025-11-01 18:14:00,2025-11-01 19:14:00,2025-11-01 19:14:00,2025-11-01 19:55:00,20,19,0,False,257.43
ORD-20252800,GS-12,West,2025-11-01 18:29:00,2025-11-01 20:29:00,2025-11-01 20:35:00,2025-11-01 21:08:00,8,7,0,False,110.36
ORD-20253945,GS-10,East,2025-11-01 18:38:00,2025-11-01 20:23:00,2025-11-01 20:37:00,2025-11-01 21:05:00,8,6,3,False,66.17
ORD-20252554,GS-07,South,2025-11-01 18:43:00,2025-11-01 19:58:00,2025-11-01 20:05:00,2025-11-01 20:12:00,5,5,0,True,48.84
ORD-20253330,GS-06,Central,2025-11-01 18:48:00,2025-11-01 20:03:00,2025-11-01 20:11:00,,12,11,3,False,96.93
ORD-20255468,GS-03,North,2025-11-01 19:07:00,2025-11-01 20:22:00,2025-11-01 20:36:00,2025-11-01 21:29:00,5,5,0,True,33.12
ORD-20250691,GS-09,South,2025-11-01 19:49:00,2025-11-01 21:34:00,2025-11-01 22:02:00,2025-11-01 22:48:00,8,7,0,False,136.48
ORD-20252431,GS-02,North,2025-11-01 20:04:00,2025-11-01 21:34:00,2025-11-01 21:48:00,2025-11-01 22:17:00,5,5,0,True,36.73
ORD-20257974,GS-10,East,2025-11-01 20:52:00,2025-11-01 22:37:00,2025-11-01 22:46:00,2025-11-01 23:16:00,15,14,0,False,181.55
ORD-20250708,GS-11,East,2025-11-01 21:05:00,2025-11-01 22:35:00,2025-11-01 22:35:00,2025-11-01 23:17:00,15,13,0,False,76.61
ORD-20253167,GS-02,North,2025-11-01 21:12:00,2025-11-01 22:27:00,2025-11-01 22:27:00,2025-11-01 23:46:00,12,11,0,False,123.97
ORD-20253923,GS-01,North,2025-11-01 21:52:00,2025-11-01 23:37:00,2025-11-01 23:37:00,2025-11-01 23:42:00,15,15,0,True,218.41
ORD-20258075,GS-06,Central,2025-11-01 22:10:00,2025-11-01 23:40:00,2025-11-01 23:58:00,2025-11-02 01:13:00,5,5,0,True,53.74
ORD-20252380,GS-04,Central,2025-11-01 23:10:00,2025-11-02 00:10:00,2025-11-02 00:47:00,2025-11-02 00:52:00,8,6,0,False,43.62
ORD-20253332,GS-10,East,2025-11-02 00:33:00,2025-11-02 02:33:00,2025-11-02 02:40:00,2025-11-02 02:45:00,12,12,0,True,100.49
ORD-20252892,GS-05,Central,2025-11-02 06:31:00,2025-11-02 08:31:00,2025-11-02 08:38:00,2025-11-02 09:38:00,8,8,0,True,127.66
ORD-20253581,GS-08,South,2025-11-02 07:00:00,2025-11-02 08:30:00,2025-11-02 08:49:00,2025-11-02 09:59:00,15,14,0,False,74.44
ORD-20250026,GS-04,Central,2025-11-02 07:40:00,2025-11-02 08:40:00,2025-11-02 08:57:00,2025-11-02 10:00:00,8,7,0,False,114.65
ORD-20252498,GS-07,South,2025-11-02 09:02:00,2025-11-02 11:02:00,2025-11-02 11:02:00,2025-11-02 11:23:00,5,4,0,False,47.06
